0	0.000001
1	0.000000
2	0.000000
3	0.000000
4	0.000001
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000001
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000001
18	0.000000
19	0.000001
20	0.000000
21	0.000001
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000001
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000001
33	0.000000
34	0.000000
35	0.000001
36	0.000001
37	0.000000
38	0.000001
39	0.000001
40	0.000001
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000001
46	0.000000
