0	0.000001
1	0.000001
2	0.000000
3	0.000001
4	0.000000
5	0.000000
6	0.000001
7	0.000000
8	0.000001
9	0.000001
10	0.000001
11	0.000001
12	0.000002
13	0.000003
14	0.000005
15	0.000008
16	0.000010
17	0.000017
18	0.000026
19	0.000042
20	0.000066
21	0.000107
22	0.000197
23	0.000281
24	0.000454
25	0.000734
26	0.001199
27	0.001924
28	0.003137
29	0.005419
30	0.008273
31	0.013578
32	0.021513
33	0.034857
34	0.056163
35	0.090816
36	0.146968
37	0.238136
38	0.384513
39	0.622420
40	1.091014
41	1.880041
42	2.715567
43	4.598840
44	7.079530
45	12.054816
46	18.119708
